epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3219.77,1.13627,0.58099,1.12667,0.8826,0.81156,0.84373,0.50417,1.34918,0.6809,1.29053,0.000742625,0.000742625,0.000742625
43,3296.15,1.12824,0.57889,1.13053,0.85127,0.85409,0.86911,0.52045,1.34892,0.65934,1.2827,0.00073025,0.00073025,0.00073025
44,3372.66,1.10736,0.56752,1.10978,0.82131,0.8205,0.84337,0.49415,1.41263,0.68285,1.31776,0.000717875,0.000717875,0.000717875
45,3449.17,1.10707,0.56622,1.11089,0.86545,0.81043,0.8581,0.50474,1.40295,0.67272,1.29183,0.0007055,0.0007055,0.0007055
46,3525.67,1.11314,0.56187,1.11081,0.88515,0.82036,0.85405,0.51699,1.34332,0.65486,1.29396,0.000693125,0.000693125,0.000693125
47,3602.09,1.09656,0.56115,1.10885,0.87502,0.7842,0.83837,0.47419,1.5396,0.7417,1.37204,0.00068075,0.00068075,0.00068075
48,3678.53,1.09552,0.557,1.10936,0.8482,0.84061,0.85837,0.52762,1.30662,0.61634,1.26014,0.000668375,0.000668375,0.000668375
49,3754.98,1.06436,0.5433,1.08831,0.87262,0.81498,0.85073,0.51677,1.39331,0.67919,1.30654,0.000656,0.000656,0.000656
50,3831.44,1.08684,0.55342,1.09861,0.88412,0.81766,0.8596,0.4949,1.42281,0.68391,1.32838,0.000643625,0.000643625,0.000643625
51,3908.05,1.07113,0.5492,1.09395,0.89979,0.80087,0.85097,0.50846,1.42513,0.68103,1.33053,0.00063125,0.00063125,0.00063125
52,3984.53,1.07741,0.54723,1.09482,0.83771,0.85365,0.85806,0.50931,1.40625,0.66266,1.30898,0.000618875,0.000618875,0.000618875
53,4060.95,1.0945,0.55631,1.10004,0.91308,0.82663,0.8786,0.53023,1.30616,0.61527,1.25061,0.0006065,0.0006065,0.0006065
54,4137.41,1.07877,0.55735,1.09812,0.8913,0.82028,0.85989,0.53,1.2863,0.61962,1.25741,0.000594125,0.000594125,0.000594125
55,4213.87,1.05359,0.53728,1.07686,0.83193,0.85058,0.84818,0.5308,1.27585,0.62931,1.25468,0.00058175,0.00058175,0.00058175
