epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,1769.23,1.42191,0.74227,1.21076,0.81145,0.79483,0.8116,0.46564,1.43322,0.76177,1.20848,0.0012351,0.0012351,0.0012351
16,1886.95,1.42788,0.75152,1.21704,0.81395,0.73205,0.77758,0.46665,1.35152,0.74277,1.16905,0.0012329,0.0012329,0.0012329
17,2004.44,1.42597,0.73808,1.21226,0.80836,0.74119,0.79346,0.4346,1.5396,0.86227,1.22678,0.00123056,0.00123056,0.00123056
18,2121.93,1.37323,0.71349,1.18202,0.82405,0.77562,0.79619,0.45465,1.49308,0.78476,1.19289,0.00122807,0.00122807,0.00122807
19,2239.46,1.35732,0.69971,1.17365,0.85062,0.78377,0.82841,0.48999,1.32135,0.71574,1.14941,0.00122543,0.00122543,0.00122543
20,2357.28,1.3385,0.68956,1.16429,0.75528,0.79933,0.80876,0.45257,1.40468,0.76368,1.18081,0.00122265,0.00122265,0.00122265
21,2474.92,1.32012,0.68434,1.16086,0.84306,0.71635,0.7516,0.40952,1.59146,0.81745,1.25189,0.00121972,0.00121972,0.00121972
22,2592.54,1.30389,0.6675,1.14947,0.78594,0.76645,0.78544,0.42339,1.56689,0.78974,1.21471,0.00121664,0.00121664,0.00121664
23,2710.07,1.28947,0.66292,1.13943,0.82825,0.75982,0.81122,0.47408,1.42613,0.72021,1.18806,0.00121342,0.00121342,0.00121342
24,2827.57,1.27611,0.65587,1.1267,0.8648,0.8047,0.82251,0.48304,1.30371,0.69451,1.09559,0.00121006,0.00121006,0.00121006
25,2945.02,1.29599,0.66455,1.14145,0.84821,0.80325,0.84403,0.50483,1.31421,0.70701,1.11695,0.00120655,0.00120655,0.00120655
26,3062.8,1.25295,0.64264,1.11819,0.8463,0.75277,0.81023,0.47386,1.31167,0.68121,1.14729,0.0012029,0.0012029,0.0012029
27,3180.37,1.24421,0.6389,1.12206,0.88751,0.80994,0.85193,0.51093,1.23383,0.65488,1.1091,0.00119911,0.00119911,0.00119911
28,3298.35,1.24004,0.63545,1.11799,0.84758,0.82765,0.85665,0.49555,1.33784,0.68013,1.15206,0.00119518,0.00119518,0.00119518
29,3415.88,1.22373,0.62864,1.11337,0.87952,0.82762,0.85816,0.52098,1.24526,0.66152,1.09423,0.00119111,0.00119111,0.00119111
30,3533.74,1.21262,0.61718,1.09941,0.92964,0.78924,0.85868,0.48372,1.41935,0.72016,1.13069,0.0011869,0.0011869,0.0011869
31,3651.29,1.21364,0.6103,1.09954,0.86827,0.85374,0.88058,0.51975,1.29475,0.65793,1.09669,0.00118256,0.00118256,0.00118256
32,3769.08,1.20925,0.61416,1.09783,0.8654,0.82264,0.85636,0.51064,1.32923,0.68513,1.11019,0.00117808,0.00117808,0.00117808
33,3886.61,1.18538,0.60367,1.09109,0.85919,0.83554,0.85649,0.49794,1.38382,0.71698,1.1598,0.00117346,0.00117346,0.00117346
34,4004.08,1.17893,0.59782,1.08351,0.9211,0.81209,0.88036,0.54184,1.20914,0.63952,1.08261,0.00116872,0.00116872,0.00116872
35,4121.86,1.18194,0.5982,1.08482,0.91317,0.80581,0.86916,0.5289,1.20973,0.62682,1.08169,0.00116383,0.00116383,0.00116383
36,4239.46,1.15934,0.59139,1.08167,0.87917,0.83038,0.88343,0.522,1.33392,0.66515,1.13261,0.00115882,0.00115882,0.00115882
37,4357.04,1.2024,0.6017,1.09306,0.89345,0.84922,0.88102,0.52151,1.29058,0.66723,1.09846,0.00115368,0.00115368,0.00115368
38,4474.48,1.16942,0.59072,1.07923,0.91306,0.83218,0.88984,0.54429,1.21783,0.60156,1.07195,0.00114841,0.00114841,0.00114841
39,4592.24,1.14491,0.58034,1.06755,0.90433,0.82697,0.88164,0.52803,1.27485,0.62524,1.08083,0.00114301,0.00114301,0.00114301
40,4709.82,1.14508,0.58365,1.07295,0.90681,0.85161,0.8969,0.55482,1.22201,0.61684,1.06995,0.00113748,0.00113748,0.00113748
41,4827.55,1.14015,0.5811,1.07013,0.92621,0.84639,0.88395,0.55182,1.22133,0.62513,1.0865,0.00113183,0.00113183,0.00113183
42,4945.04,1.11693,0.56722,1.05632,0.923,0.8061,0.88111,0.55654,1.19598,0.5967,1.06602,0.00112605,0.00112605,0.00112605
43,5062.56,1.12386,0.57352,1.06032,0.84361,0.84684,0.8768,0.52209,1.32117,0.66035,1.10165,0.00112016,0.00112016,0.00112016
44,5180.11,1.12996,0.57119,1.05942,0.83945,0.87235,0.87513,0.54715,1.26128,0.61634,1.10143,0.00111414,0.00111414,0.00111414
45,5297.65,1.11047,0.56521,1.05866,0.92585,0.83631,0.90279,0.55758,1.17491,0.61092,1.05376,0.00110801,0.00110801,0.00110801
46,5415.46,1.11095,0.56281,1.05557,0.86966,0.85776,0.87935,0.54535,1.29861,0.6281,1.12292,0.00110175,0.00110175,0.00110175
47,5532.99,1.09765,0.55505,1.0532,0.87091,0.83562,0.87213,0.54139,1.2196,0.60767,1.07329,0.00109538,0.00109538,0.00109538
48,5650.55,1.09485,0.5524,1.04959,0.86918,0.85765,0.89159,0.56538,1.21834,0.61114,1.08344,0.0010889,0.0010889,0.0010889
49,5768.32,1.08298,0.54721,1.04285,0.9304,0.83543,0.89557,0.56092,1.22025,0.60998,1.09919,0.0010823,0.0010823,0.0010823
50,5885.84,1.09003,0.54966,1.04438,0.88061,0.80873,0.87702,0.53591,1.38875,0.6693,1.12618,0.00107559,0.00107559,0.00107559
51,6003.37,1.08059,0.54519,1.03192,0.85123,0.87897,0.89772,0.5683,1.18582,0.58868,1.0576,0.00106877,0.00106877,0.00106877
52,6121.28,1.07429,0.53857,1.0377,0.90567,0.86019,0.89511,0.5716,1.17237,0.57392,1.07535,0.00106185,0.00106185,0.00106185
53,6239.09,1.08909,0.54681,1.04353,0.8904,0.85704,0.8974,0.57333,1.15671,0.59716,1.03858,0.00105481,0.00105481,0.00105481
54,6356.83,1.07928,0.54505,1.03724,0.88366,0.84986,0.88744,0.55335,1.25357,0.61388,1.08058,0.00104768,0.00104768,0.00104768
55,6474.39,1.05962,0.53327,1.02945,0.89383,0.85975,0.8896,0.54559,1.21543,0.58018,1.05863,0.00104044,0.00104044,0.00104044
56,6591.94,1.04492,0.52507,1.02289,0.90768,0.86366,0.89571,0.55674,1.25893,0.59735,1.09455,0.0010331,0.0010331,0.0010331
57,6709.54,1.05139,0.53078,1.02744,0.94911,0.83639,0.90235,0.57744,1.20238,0.5991,1.07818,0.00102566,0.00102566,0.00102566
58,6827.35,1.04969,0.52858,1.02583,0.90636,0.87149,0.90458,0.55723,1.21501,0.60446,1.05149,0.00101812,0.00101812,0.00101812
59,6944.94,1.03914,0.52277,1.02207,0.87573,0.87369,0.90172,0.57825,1.15908,0.57561,1.05031,0.00101049,0.00101049,0.00101049
60,7062.92,1.04908,0.5265,1.023,0.8924,0.87849,0.91024,0.57962,1.22077,0.59246,1.06188,0.00100276,0.00100276,0.00100276
61,7180.77,1.02374,0.51317,1.0155,0.91284,0.85805,0.89773,0.5802,1.16268,0.55819,1.05539,0.000994942,0.000994942,0.000994942
62,7298.31,1.03428,0.51973,1.01841,0.93477,0.85669,0.90482,0.57413,1.15144,0.57061,1.04811,0.000987034,0.000987034,0.000987034
63,7415.88,1.0184,0.51824,1.01394,0.93414,0.8629,0.90818,0.56463,1.22789,0.58939,1.05899,0.000979039,0.000979039,0.000979039
64,7533.41,1.02173,0.51602,1.01611,0.89705,0.86726,0.90419,0.57497,1.18642,0.57275,1.07005,0.000970958,0.000970958,0.000970958
65,7650.93,1.02472,0.51549,1.01372,0.90685,0.86709,0.90714,0.58712,1.14585,0.57138,1.05842,0.000962793,0.000962793,0.000962793
66,7768.65,1.03294,0.51861,1.02133,0.89715,0.84893,0.89034,0.57116,1.19716,0.59503,1.0594,0.000954546,0.000954546,0.000954546
67,7886.21,1.02256,0.51521,1.01388,0.89306,0.84335,0.89417,0.55016,1.26902,0.62217,1.05751,0.000946219,0.000946219,0.000946219
68,8003.9,1.01275,0.51054,1.00578,0.9078,0.86435,0.90736,0.58849,1.17649,0.57441,1.0324,0.000937815,0.000937815,0.000937815
69,8121.7,1.02754,0.52071,1.01656,0.90817,0.86915,0.90184,0.57495,1.20193,0.58046,1.05989,0.000929335,0.000929335,0.000929335
70,8239.32,0.99539,0.50419,1.00602,0.90039,0.85921,0.89682,0.58853,1.13896,0.55935,1.03063,0.000920782,0.000920782,0.000920782
71,8356.8,1.01026,0.51018,1.01184,0.94025,0.81339,0.87793,0.56573,1.19689,0.58825,1.0526,0.000912157,0.000912157,0.000912157
72,8474.29,0.99033,0.49755,1.00225,0.87887,0.8726,0.89919,0.58022,1.15543,0.55814,1.0395,0.000903462,0.000903462,0.000903462
73,8591.83,0.99129,0.50013,0.99831,0.89333,0.87499,0.91217,0.58875,1.13312,0.55828,1.04257,0.000894701,0.000894701,0.000894701
74,8709.73,0.99853,0.50186,1.01288,0.91653,0.87006,0.91422,0.59043,1.14458,0.55821,1.04051,0.000885875,0.000885875,0.000885875
75,8827.5,0.9967,0.50367,1.00372,0.87514,0.88726,0.91304,0.59762,1.11794,0.54521,1.04697,0.000876985,0.000876985,0.000876985
76,8945.43,0.98996,0.49376,1.00026,0.94072,0.84307,0.90484,0.57295,1.25387,0.57788,1.07284,0.000868035,0.000868035,0.000868035
77,9062.98,0.98173,0.49569,0.99921,0.93942,0.87171,0.91647,0.59797,1.13989,0.54962,1.04398,0.000859027,0.000859027,0.000859027
78,9180.78,0.97204,0.49313,0.99544,0.90937,0.85645,0.9013,0.58527,1.168,0.53899,1.04643,0.000849963,0.000849963,0.000849963
79,9298.35,0.98096,0.49176,1.00117,0.90976,0.87539,0.90723,0.59495,1.14675,0.54031,1.05085,0.000840844,0.000840844,0.000840844
80,9415.85,0.96689,0.48639,0.99188,0.90053,0.88888,0.90943,0.57718,1.19147,0.56461,1.04435,0.000831674,0.000831674,0.000831674
81,9533.22,0.96494,0.48631,0.98542,0.93283,0.86463,0.91225,0.57662,1.19994,0.56394,1.0786,0.000822454,0.000822454,0.000822454
82,9650.63,0.97272,0.4895,0.98913,0.90022,0.89173,0.91302,0.59217,1.12267,0.56408,1.04885,0.000813187,0.000813187,0.000813187
83,9767.97,0.95278,0.47969,0.98355,0.91678,0.85249,0.9097,0.59216,1.18085,0.55782,1.05868,0.000803876,0.000803876,0.000803876
84,9885.41,0.94237,0.47552,0.98018,0.88773,0.86836,0.90721,0.56653,1.21296,0.56774,1.06699,0.000794521,0.000794521,0.000794521
85,10002.8,0.95696,0.48027,0.98439,0.91449,0.88674,0.91731,0.60652,1.10789,0.53602,1.02121,0.000785127,0.000785127,0.000785127
86,10120.4,0.96232,0.48225,0.98358,0.87302,0.90817,0.91451,0.59861,1.12733,0.54599,1.02419,0.000775694,0.000775694,0.000775694
87,10237.8,0.95087,0.4782,0.98257,0.90179,0.89079,0.91914,0.59773,1.14518,0.55017,1.04433,0.000766226,0.000766226,0.000766226
88,10355.3,0.93459,0.47522,0.97601,0.91415,0.87293,0.90955,0.58237,1.17491,0.57514,1.0454,0.000756725,0.000756725,0.000756725
89,10472.9,0.9497,0.47734,0.97864,0.90378,0.88871,0.91232,0.58808,1.18632,0.5618,1.04635,0.000747192,0.000747192,0.000747192
90,10590.4,0.9324,0.46917,0.97483,0.91286,0.88476,0.91754,0.59745,1.14258,0.53925,1.04091,0.000737631,0.000737631,0.000737631
91,10707.8,0.92844,0.46852,0.97525,0.89447,0.88127,0.9183,0.60482,1.10017,0.52642,1.03825,0.000728044,0.000728044,0.000728044
92,10825.5,0.93137,0.47208,0.97793,0.93809,0.85335,0.9047,0.5859,1.14959,0.56324,1.04101,0.000718433,0.000718433,0.000718433
93,10942.9,0.92309,0.46491,0.97379,0.90276,0.85726,0.90695,0.60317,1.13624,0.54982,1.05143,0.0007088,0.0007088,0.0007088
94,11060.3,0.9193,0.46473,0.96899,0.92931,0.88855,0.9204,0.60742,1.13603,0.54252,1.0665,0.000699148,0.000699148,0.000699148
95,11178,0.91689,0.46551,0.97006,0.94992,0.86713,0.91507,0.59288,1.17376,0.54651,1.06369,0.00068948,0.00068948,0.00068948
96,11295.3,0.93125,0.46956,0.9715,0.89799,0.88551,0.91934,0.59604,1.13832,0.55617,1.03086,0.000679797,0.000679797,0.000679797
97,11412.7,0.9067,0.45745,0.96298,0.92828,0.89162,0.9244,0.59906,1.12269,0.52793,1.01847,0.000670102,0.000670102,0.000670102
98,11530.1,0.9165,0.46465,0.97197,0.9438,0.8809,0.92608,0.60917,1.13089,0.54039,1.04119,0.000660397,0.000660397,0.000660397
99,11647.7,0.91407,0.46206,0.97071,0.91569,0.8914,0.91999,0.60241,1.10581,0.52357,1.03889,0.000650685,0.000650685,0.000650685
100,11765.2,0.90687,0.46003,0.96454,0.91993,0.88181,0.90996,0.5906,1.14794,0.5404,1.04208,0.000640969,0.000640969,0.000640969
101,11882.7,0.89303,0.44997,0.95766,0.91083,0.87979,0.91962,0.5984,1.13812,0.54205,1.06053,0.00063125,0.00063125,0.00063125
102,12000.1,0.88846,0.45431,0.95901,0.94216,0.88322,0.9277,0.60322,1.10132,0.51705,1.01288,0.000621531,0.000621531,0.000621531
103,12117.5,0.90956,0.45957,0.96808,0.88713,0.88651,0.90801,0.59815,1.12163,0.53255,1.03909,0.000611815,0.000611815,0.000611815
104,12235,0.89711,0.45355,0.96138,0.89991,0.88228,0.92328,0.61418,1.09924,0.52168,1.05228,0.000602103,0.000602103,0.000602103
105,12352.6,0.87931,0.44353,0.95769,0.91864,0.88343,0.92123,0.60353,1.14746,0.52351,1.04909,0.000592398,0.000592398,0.000592398
106,12469.9,0.89483,0.4488,0.96254,0.92493,0.87811,0.91875,0.61406,1.08035,0.52082,1.01888,0.000582703,0.000582703,0.000582703
107,12587.2,0.8824,0.44522,0.95924,0.90238,0.911,0.9264,0.62726,1.10173,0.52002,1.01712,0.00057302,0.00057302,0.00057302
108,12704.9,0.87886,0.44233,0.95515,0.93979,0.8861,0.93099,0.61035,1.11343,0.51947,1.03479,0.000563352,0.000563352,0.000563352
109,12822.2,0.88196,0.44414,0.95399,0.8996,0.89764,0.92248,0.61587,1.07978,0.49799,1.03816,0.0005537,0.0005537,0.0005537
110,12939.6,0.87651,0.44214,0.95594,0.93838,0.87415,0.92362,0.61737,1.08485,0.5046,1.02443,0.000544067,0.000544067,0.000544067
111,13056.9,0.86639,0.44258,0.95304,0.92071,0.88217,0.9266,0.60424,1.09508,0.49743,1.017,0.000534456,0.000534456,0.000534456
112,13174.2,0.85647,0.43901,0.94906,0.90608,0.88686,0.91535,0.597,1.12576,0.53503,1.02011,0.000524869,0.000524869,0.000524869
113,13291.6,0.87279,0.4435,0.95563,0.94073,0.88057,0.9238,0.61226,1.11197,0.51876,1.01553,0.000515308,0.000515308,0.000515308
114,13409.2,0.86161,0.4357,0.94604,0.92767,0.89783,0.92767,0.62102,1.09791,0.49659,1.05446,0.000505775,0.000505775,0.000505775
115,13526.7,0.87051,0.43569,0.95122,0.93762,0.87817,0.9249,0.60701,1.14394,0.51267,1.04275,0.000496274,0.000496274,0.000496274
116,13644.1,0.84228,0.43086,0.94112,0.91803,0.89339,0.92532,0.61664,1.1136,0.50711,1.05605,0.000486806,0.000486806,0.000486806
117,13761.4,0.84129,0.42794,0.94425,0.93058,0.88364,0.92386,0.61629,1.10654,0.50632,1.05116,0.000477373,0.000477373,0.000477373
118,13878.8,0.85413,0.43203,0.94711,0.93834,0.88938,0.92445,0.61847,1.10795,0.50134,1.04898,0.000467979,0.000467979,0.000467979
119,13996.2,0.85399,0.43498,0.95202,0.90693,0.87782,0.91857,0.61505,1.08882,0.50089,1.04149,0.000458624,0.000458624,0.000458624
120,14113.5,0.8449,0.43175,0.94454,0.92869,0.88576,0.92113,0.60376,1.11759,0.5094,1.03077,0.000449313,0.000449313,0.000449313
121,14230.9,0.83359,0.42219,0.94052,0.92592,0.88991,0.92191,0.61062,1.1415,0.50217,1.0623,0.000440046,0.000440046,0.000440046
122,14348.4,0.84591,0.42927,0.94148,0.9373,0.88585,0.92271,0.60373,1.12487,0.50926,1.05697,0.000430826,0.000430826,0.000430826
123,14465.9,0.84713,0.43043,0.94486,0.92038,0.86155,0.90924,0.6188,1.09525,0.50665,1.05649,0.000421656,0.000421656,0.000421656
124,14583.5,0.83721,0.42565,0.9412,0.92765,0.87333,0.91274,0.61773,1.09857,0.50267,1.03628,0.000412537,0.000412537,0.000412537
125,14700.9,0.83672,0.4259,0.94288,0.91841,0.88792,0.92118,0.62133,1.11016,0.5069,1.03329,0.000403473,0.000403473,0.000403473
126,14818.3,0.82382,0.42034,0.93925,0.89055,0.89777,0.9207,0.61676,1.10693,0.50278,1.05963,0.000394465,0.000394465,0.000394465
127,14935.7,0.82686,0.4204,0.93792,0.91119,0.88449,0.91429,0.61184,1.10303,0.50047,1.03754,0.000385515,0.000385515,0.000385515
128,15053,0.82467,0.41959,0.93512,0.94227,0.87014,0.92338,0.61212,1.10329,0.49674,1.03988,0.000376625,0.000376625,0.000376625
129,15170.5,0.82357,0.42023,0.93289,0.9511,0.87383,0.92574,0.62429,1.08919,0.51085,1.03921,0.000367799,0.000367799,0.000367799
130,15287.9,0.83285,0.42148,0.9375,0.92628,0.88603,0.92531,0.61358,1.09649,0.50352,1.01786,0.000359038,0.000359038,0.000359038
131,15405.3,0.83084,0.42297,0.93881,0.94172,0.88238,0.92625,0.6194,1.12174,0.50938,1.02486,0.000350343,0.000350343,0.000350343
132,15522.7,0.82779,0.4202,0.93727,0.93736,0.90071,0.92704,0.62812,1.09215,0.50679,1.03943,0.000341718,0.000341718,0.000341718
133,15640.3,0.82278,0.42073,0.93663,0.93944,0.88204,0.92222,0.6271,1.08163,0.50291,1.00687,0.000333165,0.000333165,0.000333165
134,15757.6,0.81237,0.41548,0.9302,0.9089,0.90211,0.92618,0.6216,1.0872,0.50328,1.01519,0.000324685,0.000324685,0.000324685
135,15875,0.81187,0.41105,0.93412,0.90693,0.89566,0.92366,0.62249,1.09095,0.50127,1.01335,0.000316281,0.000316281,0.000316281
136,15992.3,0.80524,0.41196,0.93025,0.88918,0.89973,0.92104,0.621,1.08457,0.49582,1.00987,0.000307954,0.000307954,0.000307954
137,16109.7,0.79761,0.40685,0.92427,0.92628,0.89107,0.92988,0.62536,1.06886,0.47634,1.01665,0.000299707,0.000299707,0.000299707
138,16227,0.79621,0.40839,0.92308,0.93327,0.90484,0.93142,0.62902,1.0745,0.49551,1.02729,0.000291542,0.000291542,0.000291542
139,16344.6,0.80699,0.41163,0.93236,0.92403,0.88632,0.92431,0.62375,1.0824,0.50786,1.02931,0.000283461,0.000283461,0.000283461
140,16461.9,0.79389,0.40899,0.92286,0.93021,0.8843,0.92534,0.6206,1.10226,0.5043,1.03283,0.000275466,0.000275466,0.000275466
141,16579.2,0.8038,0.40757,0.92855,0.93212,0.8874,0.92924,0.62914,1.09354,0.49399,1.03242,0.000267558,0.000267558,0.000267558
142,16696.6,0.79641,0.40756,0.92508,0.90338,0.90341,0.91981,0.62102,1.07512,0.50465,1.0112,0.00025974,0.00025974,0.00025974
143,16813.8,0.78388,0.39946,0.9193,0.90602,0.90934,0.92967,0.6158,1.10741,0.50209,1.0276,0.000252014,0.000252014,0.000252014
144,16931.1,0.79661,0.40765,0.92254,0.90948,0.90487,0.92924,0.62481,1.10046,0.5018,1.02723,0.000244381,0.000244381,0.000244381
145,17048.4,0.78106,0.40276,0.91847,0.92055,0.89908,0.92001,0.62338,1.06578,0.49442,1.01731,0.000236844,0.000236844,0.000236844
146,17165.7,0.79152,0.4077,0.9297,0.91511,0.90421,0.92519,0.62298,1.07654,0.4954,1.01645,0.000229404,0.000229404,0.000229404
147,17283,0.78296,0.40269,0.9214,0.90691,0.88649,0.92733,0.61994,1.09408,0.48867,1.01283,0.000222063,0.000222063,0.000222063
148,17400.4,0.7802,0.39995,0.92124,0.90386,0.91613,0.92917,0.62723,1.0598,0.47516,1.00626,0.000214824,0.000214824,0.000214824
149,17517.7,0.78866,0.40393,0.92575,0.90325,0.91956,0.93096,0.62172,1.08545,0.48502,1.02076,0.000207686,0.000207686,0.000207686
150,17635,0.78538,0.40232,0.92388,0.92823,0.90723,0.93292,0.62405,1.07684,0.48867,1.01688,0.000200654,0.000200654,0.000200654
151,17752.3,0.78146,0.39861,0.9219,0.91554,0.88994,0.92092,0.61925,1.07736,0.49382,1.01559,0.000193728,0.000193728,0.000193728
152,17869.6,0.77763,0.4034,0.92194,0.90282,0.91134,0.92937,0.62321,1.06735,0.48032,1.01538,0.000186909,0.000186909,0.000186909
153,17986.9,0.7617,0.394,0.91192,0.92236,0.90894,0.92682,0.62077,1.06764,0.48391,1.00988,0.000180201,0.000180201,0.000180201
154,18104.3,0.77315,0.39786,0.92339,0.90753,0.90335,0.92039,0.61821,1.07714,0.49075,1.01151,0.000173603,0.000173603,0.000173603
155,18221.5,0.76109,0.39331,0.9138,0.90187,0.89014,0.92503,0.62069,1.07157,0.49517,1.01086,0.000167119,0.000167119,0.000167119
156,18338.9,0.76468,0.39284,0.91551,0.91065,0.89886,0.92394,0.6267,1.06545,0.49012,1.01826,0.000160749,0.000160749,0.000160749
157,18456.3,0.76683,0.39713,0.91463,0.93652,0.89461,0.92653,0.62767,1.06708,0.48775,1.01212,0.000154495,0.000154495,0.000154495
158,18573.6,0.76518,0.39428,0.91863,0.90778,0.91295,0.93357,0.62948,1.06476,0.48196,1.02769,0.000148359,0.000148359,0.000148359
159,18691.3,0.7681,0.39611,0.91687,0.91925,0.90461,0.9298,0.62955,1.0813,0.48932,1.03256,0.000142342,0.000142342,0.000142342
160,18808.9,0.75458,0.39054,0.91086,0.9102,0.89862,0.93137,0.63057,1.05884,0.4785,1.01555,0.000136445,0.000136445,0.000136445
161,18926.5,0.75958,0.38949,0.91417,0.91183,0.89647,0.93305,0.62623,1.07749,0.47935,1.02737,0.000130671,0.000130671,0.000130671
162,19043.8,0.74576,0.38839,0.91256,0.90756,0.90124,0.92724,0.62522,1.08652,0.48244,1.02823,0.00012502,0.00012502,0.00012502
163,19161,0.75376,0.38956,0.91191,0.89362,0.90557,0.92376,0.62851,1.07333,0.47814,1.03083,0.000119494,0.000119494,0.000119494
164,19278.4,0.74736,0.38709,0.9125,0.90261,0.90021,0.92597,0.62952,1.07617,0.47765,1.02268,0.000114094,0.000114094,0.000114094
165,19395.7,0.74853,0.38753,0.912,0.89808,0.92222,0.93346,0.63061,1.06863,0.47468,1.02961,0.000108822,0.000108822,0.000108822
166,19513.4,0.7427,0.38417,0.91102,0.91617,0.90036,0.92525,0.62222,1.08599,0.48737,1.03621,0.000103679,0.000103679,0.000103679
167,19630.7,0.74939,0.38663,0.91258,0.9214,0.91127,0.93155,0.62766,1.07605,0.47918,1.0283,9.86659e-05,9.86659e-05,9.86659e-05
168,19748.2,0.74814,0.3851,0.90625,0.89793,0.901,0.9261,0.62868,1.06184,0.47004,1.0152,9.37843e-05,9.37843e-05,9.37843e-05
169,19865.6,0.74147,0.38672,0.90794,0.90486,0.91129,0.92836,0.62652,1.07203,0.47794,1.0191,8.90352e-05,8.90352e-05,8.90352e-05
170,19982.9,0.73875,0.38491,0.90926,0.91695,0.89568,0.92704,0.6313,1.07247,0.48058,1.0319,8.442e-05,8.442e-05,8.442e-05
171,20100.3,0.73324,0.38055,0.91122,0.91833,0.89611,0.92787,0.62522,1.07291,0.47973,1.02507,7.99397e-05,7.99397e-05,7.99397e-05
172,20217.6,0.7311,0.38237,0.9017,0.91035,0.9062,0.92821,0.62687,1.07716,0.4814,1.03917,7.55954e-05,7.55954e-05,7.55954e-05
173,20334.9,0.74275,0.38548,0.90851,0.91448,0.90797,0.92879,0.62984,1.06605,0.47667,1.01536,7.13883e-05,7.13883e-05,7.13883e-05
174,20452.3,0.74163,0.38555,0.90754,0.91593,0.91035,0.93002,0.63025,1.06271,0.47519,1.01315,6.73192e-05,6.73192e-05,6.73192e-05
175,20569.6,0.73463,0.38249,0.90509,0.92126,0.90854,0.93262,0.63063,1.06617,0.47539,1.01189,6.33893e-05,6.33893e-05,6.33893e-05
176,20686.9,0.72026,0.37403,0.89938,0.91308,0.91219,0.93335,0.63164,1.05606,0.47517,1.01067,5.95995e-05,5.95995e-05,5.95995e-05
177,20804.3,0.72629,0.37977,0.90244,0.92708,0.91624,0.93245,0.63008,1.06574,0.47798,1.01652,5.59508e-05,5.59508e-05,5.59508e-05
178,20921.7,0.72967,0.37962,0.90584,0.92227,0.90671,0.9291,0.62871,1.06038,0.47551,1.01881,5.2444e-05,5.2444e-05,5.2444e-05
179,21039.1,0.72625,0.37889,0.90137,0.90634,0.90962,0.92815,0.63334,1.06252,0.47512,1.01912,4.908e-05,4.908e-05,4.908e-05
180,21156.7,0.71443,0.37168,0.90143,0.90771,0.90975,0.93012,0.63121,1.05934,0.47569,1.01414,4.58597e-05,4.58597e-05,4.58597e-05
181,21274,0.72668,0.37732,0.90927,0.9251,0.8977,0.92779,0.63022,1.05364,0.47284,1.01102,4.27838e-05,4.27838e-05,4.27838e-05
182,21391.2,0.71766,0.37737,0.90019,0.93131,0.89834,0.93213,0.63259,1.05736,0.47382,1.01267,3.98531e-05,3.98531e-05,3.98531e-05
