epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.502,3.63262,3.57953,3.67622,0.00643,0.24025,0.17263,0.05638,3.01925,3.06902,3.28299,0.000413437,0.000413437,0.000413437
2,238.987,2.74494,2.04998,2.55276,0.78447,0.29642,0.30182,0.1238,2.21179,2.14347,2.26963,0.000830053,0.000830053,0.000830053
3,356.865,2.51971,1.63044,2.15338,0.36479,0.45249,0.40182,0.14806,2.45848,2.17982,1.96441,0.00124647,0.00124647,0.00124647
4,474.486,2.30004,1.39835,1.86697,0.48219,0.5665,0.56632,0.26,2.07196,1.20415,1.73485,0.00124931,0.00124931,0.00124931
5,592.099,2.0747,1.23258,1.69286,0.65622,0.58945,0.57717,0.3052,1.83617,1.05769,1.55513,0.00124878,0.00124878,0.00124878
6,709.674,1.90235,1.093,1.54721,0.69792,0.60033,0.61586,0.33012,1.70974,0.95203,1.48333,0.00124809,0.00124809,0.00124809
7,827.318,1.78728,0.998,1.46097,0.67735,0.64881,0.66175,0.38574,1.53743,0.88638,1.3941,0.00124725,0.00124725,0.00124725
8,945.007,1.71218,0.95093,1.39411,0.69259,0.70206,0.68291,0.39016,1.52557,0.85306,1.29486,0.00124626,0.00124626,0.00124626
9,1062.72,1.63405,0.8997,1.34736,0.70214,0.72276,0.71864,0.39745,1.55114,0.84143,1.29482,0.00124512,0.00124512,0.00124512
10,1180.46,1.57598,0.85906,1.31126,0.78156,0.68244,0.73084,0.40488,1.50657,0.81446,1.3074,0.00124383,0.00124383,0.00124383
11,1298.25,1.54221,0.83795,1.28895,0.755,0.71917,0.73046,0.42912,1.44946,0.81573,1.24624,0.00124238,0.00124238,0.00124238
12,1416.17,1.53665,0.8229,1.29009,0.78402,0.72627,0.77257,0.42792,1.43179,0.79781,1.24514,0.00124079,0.00124079,0.00124079
13,1533.94,1.49783,0.80175,1.24907,0.75516,0.7169,0.73096,0.42811,1.44781,0.81149,1.21061,0.00123904,0.00123904,0.00123904
14,1651.45,1.44633,0.76465,1.22521,0.7602,0.73857,0.76635,0.44889,1.41856,0.76357,1.2091,0.00123714,0.00123714,0.00123714
